Marke;Kurzcharakteristik 1;Kurzcharakteristik 2;Kurzcharakteristik 3 (optional);Preis;Design;Bekanntheit;Sortimentsbreite;Positionierung;;;;;;;;
for all mankind;Premium-Denim aus Kalifornien mit modischem Anspruch;Perfekte Passform und stilvolle Waschungen;Lässiger Luxus für urbane Looks;5;3;4;1;2;;;;;;;;
adidas Golf;Funktionale Golfmode mit sportlich-elegantem Stil;Technisch durchdacht für höchste Performance auf dem Green;;3;2;5;3;1;;;;;;;;
adidas ORIGINALS;Urbaner Lifestyle mit ikonischen Retro-Designs;Streetwear-Klassiker mit Kultfaktor;Mode zwischen Sport, Popkultur und Individualität;3;3;5;3;1;;;;;;;;
adidas Sportswear;Vielseitige Activewear für Alltag und Training;Sportlich-modern mit klarem Fokus auf Komfort;;3;2;5;4;1;;;;;;;;
Aigle;Französische Outdoor-Marke mit Fokus auf Wetterfestigkeit;Authentischer Look für Natur und Stadt;;3;2;3;3;1;;;;;;;;
AIGNER;Luxusmarke mit Münchner Wurzeln und ikonischem Hufeisen-Logo;Klassische Eleganz mit italienischer Raffinesse;Hochwertige Materialien und präzise Handwerkskunst;4;3;4;2;2;;;;;;;;
Alberto;Moderne Hosen mit perfektem Sitz und technischem Anspruch;Innovative Stoffe und smarte Details für Alltag & Business;;3;3;3;2;2;;;;;;;;
Alberto Golf;Hightech-Golfhosen mit Funktion und Stil;Stretchkomfort und atmungsaktive Materialien für beste Performance;;3;2;3;2;1;;;;;;;;
ALPHA INDUSTRIES;Authentische Military-Looks mit Kultstatus;Ursprünglich für das US-Militär entwickelt, heute urbaner Klassiker;Robuste Materialien, klare Linien, ikonisches Flight Jacket;2;2;4;2;1;;;;;;;;
American Vintage;Französische Basics mit Vintage-Ästhetik;Weiche Stoffe und entspannte Silhouetten für Casual-Looks;;3;3;3;2;1;;;;;;;;
Armor lux;Französischer Maritim-Klassiker mit Tradition;Zeitlose Streifendesigns und nachhaltige Produktion;Authentisch, unkompliziert und stilvoll zugleich;3;2;3;2;1;;;;;;;;
Anthoni Crown;Edle Herrengürtel aus deutscher Manufaktur;Hochwertige Verarbeitung trifft auf raffiniertes Design;;3;3;2;1;3;;;;;;;;
ARMANI EXCHANGE;Jung, urban und trendbewusst – Armani für die neue Generation;Streetstyle mit italienischer Eleganz;Modisch, expressiv und zugänglich zugleich;3;3;5;2;2;;;;;;;;
Ascot;Edle Accessoires mit britischer Eleganz;Krawatten, Schleifen und Einstecktücher in feinster Qualität;;3;2;2;1;3;;;;;;;;
ASHWORTH;Klassisch-amerikanischer Golfstil mit britischer Note;Elegante Sportswear für Golf und Freizeit;;3;2;2;2;1;;;;;;;;
ASICS;Japanischer Laufschuhspezialist mit Innovationskraft;Technisch führend in Dämpfung und Stabilität;Beliebt bei Profi- wie Hobbyläufern weltweit;2;2;5;3;1;;;;;;;;
BALDESSARINI;Luxuriöse Herrenmode mit Reife und Charakter;Stilvolle Looks für Männer, die wissen, was sie wollen;Deutsche Marke mit internationalem Anspruch;4;3;3;2;3;;;;;;;;
Baracuta;Britischer Kult mit dem legendären G9 Harrington Jacket;Smart Casual mit Ivy-League-Flair;Tradition trifft auf zeitlose Coolness;4;2;3;1;1;;;;;;;;
Barbour;Britischer Country-Stil mit wetterfester Funktion;Ikonische Wachsmäntel und kernige Hemden für Stadt und Natur;Tradition, Qualität und Outdoor-Kompetenz seit Generationen;4;2;4;3;1;;;;;;;;
BELSTAFF;Britischer Luxus mit Wurzeln im Motorsport;Robuste Leder- und Wachsjacken mit ikonischem Design;Abenteuerlich, authentisch, unverwüstlich;5;4;4;1;1;;;;;;;;
Ben Sherman;Britischer Mod-Klassiker mit grafischem Anspruch;Statement-Hemden und smart-casual Looks mit Retro-Flair;;3;2;3;3;1;;;;;;;;
BETTER RICH;Urbaner Komfort mit weichen Materialien;Dezente Farben, entspannte Passformen, casual-luxuriöser Stil;;3;4;2;1;1;;;;;;;;
BILLABONG;Surf- und Skatewear mit kalifornischem Spirit;Lässige Styles für Board, Beach und Alltag;Lebensgefühl von Sonne, Freiheit und Bewegung;2;2;4;3;1;;;;;;;;
BIRKENSTOCK;Deutsche Ikone für Komfort und ergonomische Fußbetten;Naturverbundene Materialien und nachhaltige Produktion;Funktion trifft auf Zeitgeist und Kultstatus;3;1;4;1;1;;;;;;;;
Blauer. USA;Amerikanischer Police- und Military-Look mit Mode-Attitüde;Authentisch, sportlich, urban;;4;3;2;1;1;;;;;;;;
BOB;Italienische Mode mit kreativer Handschrift;Farbenfrohe Details, ausgefallene Stoffe, exzentrisch und charmant;;3;2;1;1;1;;;;;;;;
