Marke / Brand;Kurzcharakteristik 1;Kurzcharakteristik 2;Kurzcharakteristik 3;Preis;Qualität;Schwerpunkt;Design;Positionierung;Heritage;Herkunft;Bekanntheit;Umsatz
Aigle;Französische Outdoor-Marke mit Fokus auf Wetterfestigkeit;Authentischer Look für Natur und Stadt;;3,0;3,5;2,5;2,0;1,5;4,5;5,0;3,0;1
AIGNER;Luxusmarke mit Münchner Wurzeln und ikonischem Hufeisen-Logo;Klassische Eleganz mit italienischer Raffinesse;Hochwertige Materialien und präzise Handwerkskunst;3,5;3,5;4,0;2,5;3,5;4,0;4,0;3,5;1
Alberto;Moderne Hosen mit perfektem Sitz und technischem Anspruch;Innovative Stoffe und smarte Details für Alltag & Business;Deutsche Ingenieurskunst kombiniert mit trendigen Hosen-Styles;3,0;3,5;3,0;2,5;2,5;3,5;4,0;3,0;4
Alberto Bike;Funktionale Hosenmode perfekt fürs Fahrrad;Technisch durchdacht für höchste Performance auf demCity-Bike;;3,0;3,5;3,0;2,5;1,5;3,5;4,0;2,0;1
Alberto Golf;Funktionale Golfmode mit sportlich-elegantem Stil;Technisch durchdacht für höchste Performance auf dem Green;;3,0;3,5;3,0;2,5;3,0;3,5;4,0;2,5;1
ALPHA INDUSTRIES;Authentische Military-Looks mit Kultstatus;Ursprünglich für das US-Militär entwickelt, heute urbaner Klassiker;Robuste Materialien, klare Linien, ikonisches Flight Jacket;2,5;2,5;2,0;2,0;2,0;4,0;4,0;3,5;1
Armani Exchange;Jung, urban und trendbewusst – Armani für die neue Generation;Streetstyle mit italienischer Eleganz;Modisch, expressiv und zugänglich zugleich;3,0;3,0;4,0;3,5;3,0;3,5;1,0;4,0;1
Baldessarini;Luxuriöse Herrenmode mit Reife und Charakter;Stilvolle Looks für Männer, die wissen, was sie wollen;Deutsche Marke mit internationalem Anspruch;3,5;3,5;4,0;2,5;4,0;3,5;2,0;3,0;4
Baracuta;Britischer Kult mit dem legendären G9 Harrington Jacket;Smart Casual mit Ivy-League-Flair;Tradition trifft auf zeitlose Coolness;3,0;3,5;2,0;2,0;2,0;4,0;5,0;2,5;3
Barbour;Britischer Country-Stil mit wetterfester Funktion;Ikonische Wachsmäntel und kernige Hemden für Stadt und Natur;Tradition, Qualität und Outdoor-Kompetenz seit Generationen;3,5;4,0;2,0;1,5;2,0;5,0;5,0;3,5;5
Belstaff;Britischer Luxus mit Wurzeln im Motorsport;Robuste Leder- und Wachsjacken mit ikonischem Design;Abenteuerlich, authentisch, unverwüstlich;4,0;4,0;2,0;2,0;2,0;4,5;1,0;3,5;1
Ben Sherman;Britischer Mod-Klassiker mit grafischem Anspruch;Statement-Hemden und smart-casual Looks mit Retro-Flair;;3,0;2,5;4,0;2,5;2,5;3,5;5,0;3,0;1
BIRKENSTOCK;Deutsche Ikone für Komfort und ergonomische Fußbetten;Naturverbundene Materialien und nachhaltige Produktion;Funktion trifft auf Zeitgeist und Kultstatus;3,0;3,5;1,0;1,5;2,0;5,0;4,0;4,5;1
Blauer. USA;Amerikanischer Police- und Military-Look mit Mode-Attitüde;Authentisch, sportlich, urban;Die legendäre Kult-Lederjacke inspiriert vom US Police-Look;3,5;3,5;2,0;2,5;2,0;4,0;4,0;2,5;2
BOB;Italienische Mode mit kreativer Handschrift;Farbenfrohe Details, ausgefallene Stoffe, exzentrisch und charmant;;3,0;3,0;3,0;2,5;2,5;2,0;4,0;1,5;1
Boggi;Italienische Herrenmode mit Business-Fokus und modischem Gespür;Smart Tailoring aus Mailand mit mediterraner Leichtigkeit;Italienische Eleganz für Büro und Afterwork;3,5;3,5;4,0;3,0;3,5;3,0;1,0;2,5;3
Bogner;Sportlich-luxuriöser Stil mit alpiner Herkunft;Edle Skimode und elegante Freizeitkleidung vom legendären Münchner Willy Bogner;Deutsche Premium-Ästhetik für stilbewusste Aktive, seit 1937 aus München;4,0;4,0;4,0;2,5;2,0;4,0;4,0;3,5;3
Boss Black;Zeitlose Businesswear mit Fokus auf Eleganz und Qualität;Ideal für formelle Anlässe und gehobene Garderobe;;3,0;3,0;4,0;3,0;4,0;4,0;4,0;5,0;5
Boss Green;Sportlich-dynamische Linie mit Fokus auf Activewear und Golf;Funktionalität in stilvollem Design;;3,0;3,0;2,5;3,0;1,5;4,0;4,0;5,0;3
Boss Orange;Urban Casualwear mit entspannter Attitüde;Kreativ, jung, modern – für stilvolle Freizeit-Looks;;3,0;3,0;3,0;4,0;2,5;4,0;4,0;5,0;4
Brax;Deutsche Hosenkompetenz mit modischem Anspruch;Smart Casual für Alltag und Business;Bequeme Passformen und hochwertige Verarbeitung;2,5;3,0;3,0;2,5;3,0;4,0;4,0;3,5;2
bugatti;Deutsche Lifestylemarke mit europäischem Flair;Stilvolle Mode für Alltag, Reise und Business;Klassisch, tragbar, zuverlässig;2,5;2,5;4,0;2,5;3,5;3,0;4,0;3,0;4
CALIDA;Schweizer Wäschemarke mit Fokus auf Komfort und Nachhaltigkeit;Weiche Materialien und perfekte Schnitte für jeden Tag - die perfekte Wäsche!;Umweltbewusst und zeitlos zugleich: Wäsche mit Stil.;2,5;3,5;1,5;1,5;3,0;4,5;4,0;3,0;1
Calvin Klein Underwear;Amerikanische Ikone für minimalistische Coolness;Puristische Ästhetik mit urbanem Sexappeal;;3,0;2,5;1,5;3,0;3,0;4,0;4,0;4,5;1
camel active;Abenteuerlicher Freizeitstil mit Outdoor-Elementen;Robuste Materialien, funktionale Schnitte;Urban Outdoor für aktive Männer;2,5;2,5;4,0;2,0;2,0;4,0;4,0;3,5;2
Carl Gross;Deutsche Anzugkompetenz mit traditionellem Anspruch;Klassisch-elegante Businessmode in präzisem Schnitt;Stilsicher für formelle Anlässe;3,0;3,0;3,5;2,5;4,0;3,0;4,0;2,5;3
CasaModa;Tragbare Herrenmode mit klarem Fokus auf Komfort;Freizeithemden und Strick mit angenehmer Passform;;2,0;2,5;2,0;1,5;3,0;3,0;4,0;2,0;1
CG Club of Gents;Moderner Ableger von Carl Gross für einen jüngeren Look;Businessmode mit modischem Anspruch und urbanem Twist;;3,0;3,0;3,5;3,0;3,5;2,5;4,0;2,0;2
CINQUE;Italienisch inspirierte Mode mit urbaner Lässigkeit;Smart Casual für die City – modern, unkompliziert, stilvoll;;2,5;2,5;4,0;3,0;3,5;3,0;4,0;3,0;3
COLMAR;Italienische Sportswear mit Fokus auf Skimode und Urbanwear;Funktion trifft auf Fashion – clean, sportlich, modern;Kultige Steppjacken mit modischer Linie;3,5;3,5;2,0;2,5;1,5;4,0;5,0;2,5;1
